date,pollster,publisher,sample,Likud,Together,RZP,Zehut,Otzma,Shas,UTJ,Yisrael Beiteinu,Ra'am,Joint List,Dems,Yashar,Amcha Yisrael,Zionist Home,Hadash -Ta'al,Balad,Blue & White,Yesh Atid,Bennett 2026,Likud B,Reserv.,National Unity,Meretz,Gallant,New Hope,Bennett,Cohen,Hendel & Bennett,Levin,Protest Party,Right-wing liberal party,Labor,Netanyahu,Barkat,Eisenkot,Neither,Undecided
2023-03-23,Panels Politics,Maariv,,28.0,,5.0,,6.0,10.0,7.0,5.0,4.0,,,,,,5.0,,,26.0,,,,19.0,5.0,,,,,,,,,,,,,,
2023-05-07,CF+MP+SN,Channel 13,,24.0,,7.0,,4.0,10.0,7.0,6.0,5.0,,,,,,5.0,,,18.0,,,,29.0,,,,,,,,5.0,,,,,,,
2023-05-24,CF+MP+SN,Channel 13,,22.0,,5.0,,4.0,9.0,7.0,4.0,6.0,,,,,,5.0,4.0,,18.0,,,,26.0,4.0,,,,,,6.0,,,,,,,,
2023-06-01,Midgam R&C,Arutz Sheva,,25.0,,5.0,,5.0,10.0,7.0,5.0,6.0,,,,,,4.0,,,15.0,,,,25.0,4.0,,,,,9.0,,,,,,,,,
2023-08-10,Lazar,Maariv,,28.0,,6.0,,4.0,9.0,7.0,6.0,5.0,,,,,,5.0,,,16.0,,,,29.0,5.0,,,,,,,,,,,,,,
2023-08-10,SF+DP,Channel 14,,29.0,,4.0,,4.0,10.0,7.0,6.0,5.0,,,,,,5.0,,,10.0,,,,21.0,,,,,,,,12.0,7.0,,,,,,
2023-09-07,LRI+P4A,Maariv,,,,7.0,,5.0,10.0,7.0,5.0,6.0,,,,,,5.0,,,17.0,,,,27.0,5.0,26.0,,,,,,,,,,,,,
2023-09-14,LRI+P4A,Maariv,,26.0,,5.0,,5.0,9.0,7.0,5.0,5.0,,,,,,5.0,,,14.0,,,,25.0,,,,,,,,5.0,9.0,,,,,,
2023-12-28,CF+MP+SN,Channel 13,,,,8.0,,5.0,9.0,7.0,8.0,6.0,,,,,,4.0,,,15.0,,,,38.0,4.0,,,,,,,,,,16.0,,,,
2024-01-21,CF+MP+SN,Channel 13,,16.0,,5.0,,8.0,9.0,7.0,9.0,5.0,,,,,,5.0,,,13.0,,,,39.0,4.0,,,,,,,,,,,,,,
2024-01-25,Lazar,The Jerusalem Post,,16.0,,4.0,,8.0,9.0,7.0,9.0,5.0,,,,,,5.0,,,13.0,,,,40.0,4.0,,,,,,,,,,,,,,
2024-01-30,Midgam R&C,HaHadashot 12,,18.0,,4.0,,8.0,10.0,7.0,8.0,5.0,,,,,,5.0,,,13.0,,,,38.0,4.0,,,,,,,,,,,,,,
2024-02-11,CF+MP+SN,Channel 13,,18.0,,6.0,,8.0,9.0,7.0,10.0,4.0,,,,,,4.0,,,13.0,,,,32.0,4.0,,5.0,,,,,,,,,,,,
2024-03-13,Midgam R&C,HaHadashot 12,,18.0,,,,8.0,11.0,7.0,10.0,5.0,,,,,,5.0,,,12.0,,,,28.0,4.0,,,12.0,,,,,,,,,,,
2024-03-13,CF+MP+SN,Channel 13,,15.0,,4.0,,7.0,9.0,6.0,8.0,4.0,,,,,,4.0,,,10.0,,,,21.0,4.0,,,18.0,11.0,,,,,,,,,,
2024-04-21,Midgam Project & Stat Net,Channel 13,,20.0,,7.0,,9.0,8.0,7.0,11.0,4.0,,,,,,5.0,,,15.0,,,,30.0,,,,,,,,,,4.0,,,,,
2024-04-30,Midgam R&C,HaHadashot 12,,18.0,,4.0,,10.0,10.0,8.0,10.0,5.0,,,,,,5.0,,,15.0,,,,31.0,4.0,,,,,,,,,,,,,,
2024-05-16,Midgam R&C,HaHadashot 12,,19.0,,4.0,,9.0,10.0,8.0,11.0,5.0,,,,,,5.0,,,16.0,,,,29.0,4.0,,,,,,,,,,,,,,
2024-05-30,LRI+P4A,Maariv,,22.0,,4.0,,10.0,7.0,10.0,10.0,4.0,,,,,,5.0,,,14.0,,,,25.0,4.0,,,,,,,,,5.0,,,,,
2024-06-28,LRI+P4A,Maariv,,21.0,,,,9.0,10.0,7.0,14.0,5.0,,,,,,5.0,,,15.0,,,,24.0,4.0,,,,,,,,,6.0,,,,,
2024-08-22,Midgam R&C,HaHadashot 12,,22.0,,,,8.0,10.0,8.0,14.0,5.0,,11.0,,,,5.0,,,15.0,,,,22.0,,,,,,,,,,,,,,,
2024-09-04,Kantar,Kan 11,,22.0,,4.0,,8.0,10.0,7.0,14.0,5.0,,8.0,,,,5.0,,,14.0,,,,23.0,,,,,,,,,,,,,,,
2024-09-16,MM+SN,Channel 13,,21.0,,5.0,,9.0,10.0,7.0,14.0,6.0,,8.0,,,,5.0,,,13.0,,,,22.0,,,,,,,,,,,,,,,
2025-06-06,LRI+P4A,i24 News,,19.0,,,,8.0,9.0,7.0,9.0,5.0,,11.0,,,9.0,5.0,,7.0,7.0,24.0,,,,,,,,,,,,,,,,,,
2025-07-03,LRI+P4A,Maariv,,27.0,,,,7.0,9.0,8.0,9.0,5.0,,11.0,,,,5.0,,6.0,9.0,24.0,,,,,,,,,,,,,,,,,,
2025-08-29,TrendZone,–,,32.0,,,,6.0,9.0,7.0,21.0,6.0,,9.0,,,,5.0,,12.0,9.0,4.0,,,,,,,,,,,,,,,,,,
2025-09-18,Midgam R&C,HaHadashot 12,,24.0,,4.0,,5.0,9.0,7.0,11.0,5.0,,10.0,10.0,,,5.0,,,9.0,21.0,,,,,,,,,,,,,,,,,,
2025-10-16,Midgam R&C,HaHadashot 12,,27.0,,,,8.0,9.0,7.0,8.0,5.0,,11.0,8.0,,,5.0,,4.0,8.0,20.0,4.0,,,,,,,,,,,,,,,,,
2025-12-04,MM+SN,Channel 13,,23.0,,4.0,,9.0,10.0,6.0,10.0,4.0,,10.0,6.0,,,6.0,,,9.0,19.0,,4.0,,,,,,,,,,,,,,,,
2026-01-01,Yossi Tatika,Zman Yisrael,500.0,28.0,,,,6.0,10.0,8.0,10.0,6.0,,8.0,7.0,,,5.0,,,10.0,22.0,,,,,,,,,,,,,,,,,,
2026-01-01,LRI+P4A,Maariv,,27.0,,,,10.0,8.0,7.0,10.0,5.0,,10.0,10.0,,,5.0,,,9.0,19.0,,,,,,,,,,,,,,,,,,
2026-01-01,Filber,Channel 14,736.0,35.0,,5.0,,7.0,11.0,8.0,9.0,5.0,,10.0,8.0,,,5.0,,,6.0,11.0,,,,,,,,,,,,,,,,,,
2026-01-01,Midgam R&C,HaHadashot 12,,26.0,,,,9.0,9.0,7.0,9.0,5.0,,11.0,8.0,,,5.0,,,10.0,21.0,,,,,,,,,,,,,,,,,,
2026-01-07,MM+SN,Channel 13,,26.0,,,,10.0,10.0,7.0,10.0,5.0,,8.0,8.0,,,5.0,,,7.0,24.0,,,,,,,,,,,,,,,,,,
2026-01-08,Midgam R&C,HaHadashot 12,,25.0,,4.0,,8.0,8.0,7.0,8.0,5.0,,12.0,8.0,,,5.0,,,9.0,21.0,,,,,,,,,,,,,,,,,,
2026-01-08,Yossi Tatika,Zman Yisrael,500.0,28.0,,,,7.0,10.0,8.0,10.0,6.0,,9.0,6.0,,,5.0,,,10.0,21.0,,,,,,,,,,,,,,,,,,
2026-01-08,LRI+P4A,Maariv,503.0,27.0,,,,9.0,8.0,7.0,9.0,5.0,,10.0,10.0,,,5.0,,,8.0,22.0,,,,,,,,,,,,,,,,,,
2026-01-08,Filber,Channel 14,506.0,35.0,,4.0,,7.0,11.0,9.0,9.0,5.0,,8.0,8.0,,,5.0,,,6.0,13.0,,,,,,,,,,,,,,,,,,
2026-01-14,Kantar,Israel Hayom,600.0,27.0,,,,9.0,10.0,7.0,8.0,5.0,,9.0,9.0,,,5.0,,,8.0,23.0,,,,,,,,,,,,,,,,,,
2026-01-15,Filber,Channel 14,604.0,35.0,,4.0,,7.0,11.0,9.0,10.0,6.0,,11.0,6.0,,,5.0,,,5.0,11.0,,,,,,,,,,,,,,,,,,
2026-01-15,TrendZone,–,,34.0,,,,10.0,6.0,6.0,6.0,5.0,,12.0,9.0,,,6.0,,,5.0,21.0,,,,,,,,,,,,,,,,,,
2026-01-15,Midgam R&C,HaHadashot 12,504.0,26.0,,,,9.0,8.0,8.0,8.0,5.0,,12.0,8.0,,,5.0,,,9.0,22.0,,,,,,,,,,,,,,,,,,
2026-01-15,Yossi Tatika,Zman Yisrael,500.0,27.0,,,,7.0,10.0,8.0,10.0,6.0,,8.0,7.0,,,5.0,,4.0,9.0,19.0,,,,,,,,,,,,,,,,,,
2026-01-15,LRI+P4A,Maariv,501.0,26.0,,,,10.0,8.0,7.0,8.0,4.0,,10.0,11.0,,,5.0,,,9.0,22.0,,,,,,,,,,,,,,,,,,
2026-01-20,MM+SN,Channel 13,,25.0,,,,9.0,10.0,7.0,9.0,4.0,,10.0,7.0,,,5.0,4.0,,7.0,23.0,,,,,,,,,,,,,,,,,,
2026-01-22,Yossi Tatika,Zman Yisrael,500.0,25.0,,4.0,,6.0,10.0,8.0,10.0,6.0,,9.0,7.0,,,5.0,,4.0,8.0,18.0,,,,,,,,,,,,,,,,,,
2026-01-22,LRI+P4A,Maariv,501.0,25.0,,,,9.0,8.0,7.0,9.0,5.0,,9.0,11.0,,,5.0,,,9.0,23.0,,,,,,,,,,,,,,,,,,
2026-01-22,Filber,Channel 14,503.0,34.0,,5.0,,7.0,10.0,9.0,8.0,5.0,,10.0,7.0,,,6.0,,4.0,5.0,10.0,,,,,,,,,,,,,,,,,,
2026-01-22,Midgam R&C,HaHadashot 12,501.0,25.0,,,,9.0,9.0,8.0,9.0,5.0,,11.0,9.0,,,5.0,,,8.0,22.0,,,,,,,,,,,,,,,,,,
2026-01-29,Yossi Tatika,Zman Yisrael,500.0,28.0,,,,7.0,10.0,8.0,10.0,6.0,,10.0,8.0,,,5.0,,,9.0,19.0,,,,,,,,,,,,,,,,,,
2026-02-11,Kantar,Israel Hayom,,27.0,,,,10.0,9.0,7.0,9.0,5.0,,9.0,11.0,,,5.0,,,7.0,21.0,,,,,,,,,,,,,,,,,,
2026-02-12,Midgam R&C,HaHadashot 12,,26.0,,,,9.0,9.0,7.0,9.0,5.0,,11.0,11.0,,,5.0,,,7.0,21.0,,,,,,,,,,,,,,,,,,
2026-02-12,LRI+P4A,Maariv,593.0,25.0,,,,10.0,8.0,7.0,9.0,5.0,,9.0,12.0,,,5.0,,,9.0,21.0,,,,,,,,,,,,,,,,,,
2026-02-12,Yossi Tatika,Zman Yisrael,500.0,28.0,,,,7.0,10.0,8.0,11.0,6.0,,8.0,8.0,,,5.0,,,9.0,20.0,,,,,,,,,,,,,,,,,,
2026-02-19,Yossi Tatika,Zman Yisrael,500.0,27.0,,,,7.0,10.0,8.0,10.0,6.0,,9.0,9.0,,,5.0,,4.0,7.0,18.0,,,,,,,,,,,,,,,,,,
