date,pollster,publisher,sample,Likud,Labor,Blue & White,Kulanu,Shas,UTJ,URWP,Yisrael Beiteinu,Meretz,Hadash -Ta'al,New Right,Ra'am -Balad,Zehut,Gesher,Joint List,Yesh Atid,Jewish Home,Ta'al,Hosen- Telem,Hatnuah,Hosen,Zionist Union,Labor+ Meretz,Hosen Yisrael
2018-11-14,Midgam/News Company,,,24.0,,,8.0,6.0,7.0,,7.0,5.0,,,,,5.0,12.0,13.0,10.0,,,,15.0,8.0,,
2018-11-14,Panels Politics/Maariv,,,29.0,,,8.0,5.0,8.0,,8.0,6.0,,,,,7.0,11.0,16.0,12.0,,,,,10.0,,
2018-11-15,Smith/Channel 20,,,29.0,,,8.0,5.0,8.0,,8.0,6.0,,,,,6.0,12.0,16.0,11.0,,,,,11.0,,
2018-11-17,Midgam/News Company,,,30.0,,,8.0,7.0,6.0,,6.0,5.0,,,,,6.0,12.0,18.0,10.0,,,,,12.0,,
2018-11-19,Panel HaMidgam Project/Statnet/Ten News,,,27.0,,,4.0,4.0,6.0,,8.0,6.0,,,,,5.0,14.0,12.0,9.0,,,,15.0,10.0,,
2018-11-20,Midgam/Army Radio,,,30.0,,,8.0,6.0,7.0,,8.0,4.0,,,,,6.0,12.0,18.0,9.0,,,,,12.0,,
2018-11-21,Panels Politics/Walla!,,,30.0,,,5.0,4.0,8.0,,4.0,6.0,,,,,,13.0,10.0,12.0,,,,19.0,9.0,,
2018-12-16,Midgam/Channel 13,,,28.0,,,5.0,5.0,7.0,,6.0,4.0,,,,,5.0,12.0,13.0,9.0,,,,16.0,10.0,,
2018-12-25,Panels Politics/Maariv,,,30.0,,,6.0,4.0,7.0,,5.0,6.0,,,,,6.0,11.0,12.0,11.0,,,,13.0,9.0,,
2018-12-25,Sarid/Kan,,,30.0,,,6.0,4.0,7.0,,4.0,7.0,,,,,4.0,13.0,13.0,12.0,,,,10.0,10.0,,
2018-12-25,Panel HaMidgam Project/Statnet/Ten News,,,27.0,,,6.0,5.0,7.0,,6.0,6.0,,,,,6.0,12.0,12.0,9.0,,,,15.0,9.0,,
2018-12-25,Panels Politics/Walla!,,,31.0,,,5.0,4.0,7.0,,5.0,6.0,,,,,5.0,11.0,12.0,11.0,,,,14.0,9.0,,
2018-12-25,Midgam/News Company,,,29.0,,,5.0,5.0,7.0,,6.0,5.0,,,,,4.0,12.0,11.0,9.0,,,,16.0,11.0,,
2018-12-27,Maagar Mochot/Israel Hayom,,,31.0,,,5.0,4.0,7.0,,4.0,5.0,,,,,6.0,12.0,11.0,11.0,,,,15.0,7.0,,
2018-12-27,Panels Politics/Channel 12,,,31.0,,,5.0,4.0,7.0,,4.0,5.0,,,,,5.0,11.0,15.0,11.0,,,,13.0,9.0,,
2018-12-30,Panel Project HaMidgam/Channel 10,,,30.0,,,6.0,5.0,7.0,,5.0,5.0,,8.0,,,5.0,13.0,11.0,3.0,,,,14.0,8.0,,
2018-12-30,Panels Politics/Walla!,,,28.0,,,5.0,4.0,7.0,,4.0,6.0,,10.0,,,4.0,13.0,15.0,4.0,,,,11.0,9.0,,
2018-12-30,Midgam/Channel 13,,,28.0,,,6.0,6.0,7.0,,5.0,6.0,,6.0,,,5.0,12.0,12.0,4.0,,,,14.0,9.0,,
2018-12-30,Direct Polls/Makor Rishon,,,25.0,,,4.0,5.0,7.0,,5.0,5.0,,14.0,,,4.0,12.0,10.0,5.0,,,,15.0,9.0,,
2018-12-30,Sarid/Kan,,,27.0,,,7.0,4.0,7.0,,,6.0,,14.0,,,5.0,12.0,16.0,,,,,13.0,9.0,,
2019-01-02,Midgam/iPanel/News Company,,,31.0,8.0,,5.0,5.0,7.0,,5.0,5.0,,6.0,,,5.0,12.0,10.0,4.0,,,5.0,12.0,,,
2019-01-02,TNS/Kan,,,28.0,7.0,,7.0,6.0,7.0,,5.0,6.0,,9.0,,,6.0,12.0,13.0,,,,,14.0,,,
2019-01-03,Smith/Jerusalem Post,,,30.0,9.0,,6.0,6.0,7.0,,5.0,6.0,,9.0,,,5.0,12.0,11.0,,,,,14.0,,,
2019-01-04,Panels Politics/Maariv,,,30.0,8.0,,5.0,5.0,7.0,,4.0,5.0,,11.0,,,4.0,13.0,12.0,4.0,,,,12.0,,,
2019-01-04,Direct Polls/Makor Rishon,,,26.0,10.0,,4.0,5.0,6.0,,4.0,5.0,,10.0,,,4.0,12.0,17.0,5.0,,,,12.0,,,
