date,pollster,publisher,sample,Likud,Blue & White,Joint List,Shas,UTJ,Yamina,Labor- Gesher,Yisrael Beiteinu,Dem. Union,Otzma Yehudit,Likud- Kulanu,URWP,New Right,Zehut,Meretz,IDP,Labor,Hadash -Ta'al,Ra'am -Balad
2019-05-26,Panels Politics,Maariv,,35.0,34.0,,8.0,8.0,,,6.0,,,,6.0,5.0,,5.0,,6.0,7.0,
2019-05-28,Direct Polls,Makor Rishon,,34.0,33.0,,7.0,8.0,,,9.0,,,,5.0,5.0,,5.0,,7.0,7.0,
2019-05-30,Panel Project HaMidgam & Statnet,Channel 13,,,33.0,,7.0,7.0,,,9.0,,,36.0,7.0,,,6.0,,4.0,7.0,4.0
2019-05-30,Panels Politics,Maariv,,,33.0,,7.0,8.0,,,9.0,,,37.0,6.0,5.0,,6.0,,,5.0,4.0
2019-05-30,KANTAR,Kan 11,,,34.0,,7.0,8.0,,,8.0,,,35.0,4.0,4.0,,5.0,,5.0,6.0,4.0
2019-06-02,Maagar Mohot,Israel Hayom,,,34.0,,7.0,7.0,,,8.0,,,36.0,4.0,5.0,,4.0,,4.0,6.0,5.0
2019-06-07,Panels Politics,Maariv,,,33.0,,7.0,8.0,,,7.0,,,37.0,6.0,6.0,,4.0,,4.0,7.0,
2019-06-14,Maagar Mohot,103fm,,,33.0,,7.0,8.0,,,8.0,,,35.0,5.0,5.0,,5.0,,4.0,6.0,4.0
2019-06-20,Maagar Mohot,103fm,,,33.0,,8.0,8.0,,,8.0,,,34.0,6.0,4.0,,5.0,,4.0,6.0,4.0
2019-06-26,Panel Project HaMidgam,Channel 13,,,32.0,12.0,6.0,6.0,,,7.0,,,32.0,4.0,4.0,,6.0,6.0,5.0,,
2019-07-03,Statnet,Channel 13,,,29.0,9.0,7.0,6.0,,,8.0,,,31.0,4.0,5.0,4.0,4.0,6.0,7.0,,
2019-07-03,Midgam,Channel 12,,,31.0,12.0,7.0,7.0,,,9.0,,,32.0,5.0,5.0,,4.0,,8.0,,
2019-07-04,Maagar Mohot,Israel Hayom,,,30.0,9.0,6.0,7.0,,,7.0,,,31.0,8.0,4.0,,6.0,4.0,8.0,,
2019-07-11,Midgam,Walla!,,,30.0,11.0,7.0,8.0,,,9.0,,,30.0,5.0,5.0,,5.0,4.0,6.0,,
2019-07-12,Smith,103fm/Maariv,,,30.0,10.0,8.0,7.0,,,8.0,,,33.0,4.0,6.0,,5.0,4.0,5.0,,
2019-07-16,Midgam,Channel 12,,,30.0,11.0,7.0,8.0,,,10.0,,,31.0,4.0,5.0,,4.0,4.0,6.0,,
2019-07-17,Dialog,Arutz Sheva,,,28.0,11.0,8.0,7.0,,,8.0,,,31.0,4.0,4.0,,7.0,4.0,8.0,,
2019-07-19,Smith,103fm/Maariv,,,29.0,10.0,8.0,7.0,,6.0,9.0,,,32.0,4.0,6.0,,5.0,4.0,,,
2019-07-19,Direct Polls,Makor Rishon,,,29.0,11.0,7.0,8.0,,6.0,8.0,,,32.0,4.0,5.0,,5.0,5.0,,,
2019-07-21,Midgam & iPanel,Channel 12,,,29.0,11.0,7.0,8.0,,7.0,9.0,,,30.0,5.0,6.0,,4.0,4.0,,,
2019-07-21,KANTAR,Kan 11,,,30.0,10.0,7.0,8.0,,8.0,10.0,,,30.0,4.0,8.0,,5.0,,,,
2019-07-25,Midgam & iPanel,Walla!,,,29.0,12.0,7.0,8.0,,8.0,10.0,,,29.0,4.0,8.0,,5.0,,,,
2019-07-25,KANTAR,Kan 11,,,30.0,10.0,7.0,8.0,,5.0,9.0,8.0,,30.0,4.0,9.0,,,,,,
2019-07-25,Maagar Mohot,Israel Hayom,,,30.0,12.0,7.0,7.0,,5.0,7.0,9.0,,31.0,6.0,6.0,,,,,,
2019-07-25,Midgam,Channel 12,,,27.0,11.0,7.0,8.0,,5.0,10.0,10.0,,29.0,4.0,9.0,,,,,,
2019-07-25,Panel Project HaMidgam,Channel 13,,,23.0,11.0,5.0,6.0,,7.0,10.0,12.0,,28.0,4.0,10.0,4.0,,,,,
2019-07-26,Smith,103fm/Maariv,,,28.0,11.0,8.0,7.0,,6.0,9.0,9.0,,30.0,5.0,7.0,,,,,,
2019-07-30,Midgam,Channel 12,,30.0,30.0,11.0,7.0,8.0,12.0,5.0,10.0,7.0,,,,,,,,,,
2019-08-01,Maagar Mohot,Israel Hayom,,30.0,28.0,12.0,7.0,7.0,11.0,6.0,10.0,9.0,,,,,,,,,,
2019-08-01,Panel Project HaMidgam,Channel 13,,30.0,29.0,11.0,6.0,7.0,11.0,6.0,11.0,9.0,,,,,,,,,,
2019-08-02,Smith,103fm,,31.0,29.0,11.0,8.0,7.0,11.0,5.0,10.0,8.0,,,,,,,,,,
2019-08-02,Midgam,Channel 12,,30.0,29.0,11.0,7.0,8.0,12.0,6.0,10.0,7.0,,,,,,,,,,
2019-08-04,KANTAR,Reshet Bet,,29.0,30.0,11.0,7.0,7.0,11.0,6.0,11.0,8.0,,,,,,,,,,
2019-08-05,Midgam,Walla!,,31.0,29.0,11.0,7.0,8.0,11.0,6.0,10.0,7.0,,,,,,,,,,
2019-08-05,Direct Polls,Channel 13,,30.0,29.0,11.0,7.0,7.0,11.0,7.0,10.0,8.0,,,,,,,,,,
2019-08-08,Smith,103fm,,32.0,30.0,11.0,8.0,7.0,10.0,5.0,9.0,8.0,,,,,,,,,,
2019-08-13,Midgam,Channel 12,,30.0,29.0,11.0,7.0,8.0,11.0,7.0,10.0,7.0,,,,,,,,,,
2019-08-15,Panel Project HaMidgam,Channel 13,,31.0,31.0,9.0,6.0,7.0,12.0,5.0,11.0,8.0,,,,,,,,,,
2019-08-15,Smith,103fm,,32.0,30.0,11.0,8.0,7.0,9.0,6.0,10.0,7.0,,,,,,,,,,
2019-08-18,Direct Polls,Makor Rishon,,31.0,29.0,10.0,8.0,8.0,11.0,7.0,9.0,7.0,,,,,,,,,,
2019-08-21,Midgam,Walla!,,31.0,30.0,11.0,7.0,8.0,11.0,6.0,9.0,7.0,,,,,,,,,,
2019-08-22,Midgam,Channel 12,,30.0,30.0,11.0,7.0,8.0,11.0,6.0,10.0,7.0,,,,,,,,,,
2019-08-22,Smith,103fm,,32.0,30.0,11.0,8.0,7.0,10.0,5.0,10.0,7.0,,,,,,,,,,
2019-08-22,Maagar Mohot,Israel Hayom,,32.0,31.0,12.0,8.0,7.0,10.0,4.0,10.0,6.0,,,,,,,,,,
2019-08-25,KANTAR,Kan 11,,32.0,31.0,11.0,7.0,7.0,10.0,7.0,9.0,6.0,,,,,,,,,,
2019-08-28,Smith,103fm/Maariv,,32.0,31.0,10.0,8.0,7.0,10.0,5.0,10.0,7.0,,,,,,,,,,
2019-08-28,Midgam,Channel 12,,31.0,30.0,10.0,7.0,8.0,10.0,7.0,10.0,7.0,,,,,,,,,,
2019-08-29,Maagar Mohot,Israel Hayom,,30.0,32.0,11.0,8.0,7.0,10.0,5.0,11.0,6.0,,,,,,,,,,
2019-09-01,KANTAR,Kan 11,,32.0,31.0,11.0,7.0,7.0,10.0,6.0,9.0,7.0,,,,,,,,,,
2019-09-01,Panel Project HaMidgam,Channel 13,,31.0,32.0,10.0,6.0,7.0,10.0,6.0,11.0,7.0,,,,,,,,,,
2019-09-02,Midgam,Walla!,,32.0,31.0,10.0,7.0,8.0,9.0,7.0,9.0,7.0,,,,,,,,,,
2019-09-04,Panels Politics,Knesset Channel,,31.0,31.0,10.0,7.0,8.0,10.0,5.0,9.0,5.0,4.0,,,,,,,,,
2019-09-05,Panel Project HaMidgam,Channel 13,,32.0,32.0,10.0,6.0,8.0,10.0,5.0,11.0,6.0,,,,,,,,,,
2019-09-05,Maagar Mohot,Israel Hayom,,31.0,30.0,11.0,8.0,7.0,8.0,6.0,11.0,4.0,4.0,,,,,,,,,
2019-09-05,Midgam,Channel 12,,32.0,32.0,10.0,7.0,8.0,9.0,6.0,9.0,7.0,,,,,,,,,,
2019-09-05,Smith,103fm & Maariv,,32.0,32.0,9.0,8.0,7.0,9.0,6.0,10.0,7.0,,,,,,,,,,
2019-09-09,Midgam,Walla!,,32.0,33.0,9.0,6.0,7.0,9.0,6.0,8.0,6.0,4.0,,,,,,,,,
2019-09-09,KANTAR,Kan 11,,31.0,32.0,10.0,7.0,7.0,9.0,5.0,9.0,6.0,4.0,,,,,,,,,
2019-09-10,Midgam,Channel 12,,31.0,32.0,9.0,7.0,7.0,9.0,6.0,9.0,6.0,4.0,,,,,,,,,
2019-09-10,Panel Project HaMidgam,Channel 13,,31.0,32.0,11.0,6.0,7.0,9.0,5.0,9.0,6.0,4.0,,,,,,,,,
2019-09-11,Maagar Mohot,Israel Hayom,,33.0,31.0,12.0,7.0,7.0,7.0,6.0,9.0,4.0,4.0,,,,,,,,,
2019-09-12,Smith,Maariv,,33.0,32.0,12.0,8.0,7.0,9.0,5.0,8.0,6.0,,,,,,,,,,
2019-09-12,Panels Politics,Knesset Channel,,36.0,32.0,10.0,7.0,8.0,9.0,4.0,9.0,5.0,,,,,,,,,,
2019-09-12,KANTAR,Kan 11,,31.0,33.0,11.0,7.0,8.0,9.0,5.0,7.0,5.0,4.0,,,,,,,,,
2019-09-13,Shvakim Panorama,HOT,,33.0,32.0,11.0,7.0,8.0,7.0,4.0,9.0,5.0,4.0,,,,,,,,,
2019-09-13,Midgam,Channel 12,,32.0,32.0,10.0,7.0,8.0,8.0,5.0,8.0,6.0,4.0,,,,,,,,,
2019-09-13,Panel Project HaMidgam,Channel 13,,32.0,32.0,12.0,6.0,7.0,9.0,4.0,9.0,5.0,4.0,,,,,,,,,
2019-09-17,Midgam,Channel 12,,32.0,32.0,13.0,9.0,8.0,7.0,6.0,9.0,5.0,,,,,,,,,,
2019-09-17,Panel Project HaMidgam,Channel 13,,30.0,32.0,15.0,9.0,8.0,6.0,6.0,8.0,6.0,,,,,,,,,,
2019-09-17,KANTAR,Kan 11,,31.0,32.0,13.0,9.0,8.0,7.0,6.0,9.0,5.0,,,,,,,,,,
