date,pollster,publisher,sample,Blue & White,Likud,Joint List,Emet,Shas,Yisrael Beiteinu,UTJ,Yamina,Otzma,New Right,NU,UJH,Labor- Gesher,Dem. Union,JH,JH-NU,Sa'ar,URWP,Netanyahu,Gantz,Neither,Don't Know,Likud-B&W only,w/ right-wing block,w/ Yisrael Beiteinu
2019-10-06,Midgam,Walla!,,33.0,33.0,13.0,,9.0,7.0,7.0,7.0,,,,,6.0,5.0,,,,,,,,,,,
2019-10-22,Panel Project HaMidgam,Channel 13,,34.0,33.0,13.0,,7.0,8.0,7.0,,,4.0,,,5.0,4.0,,5.0,,,,,,,,,
2019-11-05,Midgam,Channel 12,,,,,,,,,,,,,,,,,,,,40.0,36.0,24.0,24.0,,,
2019-11-10,Panel Project HaMidgam,Channel 13,,35.0,34.0,13.0,,6.0,9.0,6.0,,,4.0,,,5.0,4.0,,4.0,,,,,,,,,
2019-11-15,Maagar Mochot,Israel Hayom,,33.0,31.0,13.0,,10.0,9.0,7.0,,,5.0,,,6.0,6.0,,5.0,,,,,,,,,
2019-11-21,Kantar,Kan 11,,33.0,33.0,12.0,,7.0,8.0,8.0,,,5.0,,,5.0,5.0,,4.0,,,,,,,,,
2019-11-22,Panel Project HaMidgam/Statnet,Channel 13,,36.0,33.0,13.0,,6.0,8.0,6.0,,,6.0,,,4.0,4.0,,4.0,,,,,,,,,
2019-11-25,Panels Politics,Channel 12,,37.0,30.0,12.0,,8.0,7.0,7.0,,,6.0,,,5.0,4.0,,4.0,,,,,,,,,
2019-11-26,Midgam,Channel 12,,34.0,33.0,13.0,,8.0,9.0,8.0,,,6.0,,,5.0,4.0,,,,,,,,,,,
2019-11-27,Smith,Maariv,,35.0,33.0,13.0,,8.0,8.0,7.0,,,6.0,,,5.0,5.0,,,,,,,,,,,
2019-11-28,Maagar Mochot,Israel Hayom,,35.0,33.0,13.0,,9.0,8.0,8.0,,,6.0,,,4.0,4.0,,,,,,,,,,,
2019-12-05,Maagar Mochot,103fm,,34.0,32.0,12.0,,8.0,8.0,8.0,,,6.0,,,4.0,4.0,,4.0,,,,,,,,,
2019-12-05,Midgam,Channel 12,,34.0,33.0,13.0,,8.0,8.0,8.0,,,6.0,,,5.0,5.0,,,,,,,,,,,
2019-12-08,Kantar,Kan 11,,33.0,32.0,13.0,,9.0,8.0,8.0,,,8.0,,,5.0,4.0,,,,,,,,,,,
2019-12-10,Panel Project HaMidgam,Channel 13,,35.0,29.0,13.0,,7.0,8.0,7.0,,,7.0,,,4.0,5.0,,5.0,,,,,,,,,
2019-12-10,Midgam,Walla!,,35.0,33.0,13.0,,8.0,8.0,8.0,,,6.0,,,5.0,4.0,,,,,,,,,,,
2019-12-12,Smith,Maariv,,35.0,33.0,12.0,,8.0,7.0,7.0,,,5.0,,,5.0,4.0,,4.0,,,,,,,,,
2019-12-12,Midgam,Channel 12,,35.0,32.0,13.0,,8.0,8.0,8.0,,,6.0,,,5.0,5.0,,,,,,,,,,,
2019-12-12,Maagar Mochot,Israel Hayom,,37.0,31.0,14.0,,8.0,8.0,7.0,,,5.0,,,6.0,4.0,,,,,,,,,,,
2019-12-15,Kantar,Kan 11,,35.0,31.0,13.0,,9.0,8.0,7.0,,,6.0,,,6.0,5.0,,,,,,,,,,,
2019-12-18,Panels Politics,Makor Rishon,,38.0,34.0,14.0,,8.0,7.0,7.0,,,7.0,,,5.0,,,,,,,,,,,,
2019-12-19,Smith,103fm,,33.0,30.0,13.0,,9.0,6.0,7.0,,,8.0,,,5.0,4.0,,5.0,,,,,,,,,
2020-01-01,Panels Politics,Maariv,,34.0,28.0,13.0,,8.0,7.0,7.0,,,6.0,,,4.0,,,,6.0,7.0,,,,,,,
2020-01-02,Panel Project HaMidgam,Channel 13,,36.0,34.0,13.0,,7.0,6.0,7.0,,,8.0,,,5.0,4.0,,,,,,,,,,,
2020-01-02,KANTAR,Kan 11,,35.0,33.0,13.0,,7.0,7.0,8.0,,,6.0,,,6.0,5.0,,,,,,,,,,,
2020-01-02,Midgam,Channel 12,,35.0,33.0,13.0,,8.0,8.0,8.0,,,6.0,,,5.0,4.0,,,,,,,,,,,
2020-01-08,Midgam,Walla!,,35.0,33.0,13.0,,8.0,8.0,8.0,,,6.0,,,5.0,4.0,,,,,,,,,,,
2020-01-09,Panels Politics,Makor Rishon,,35.0,31.0,14.0,,8.0,8.0,8.0,,4.0,7.0,,,5.0,,4.0,,,,,,,,,,
2020-01-09,Maagar Mohot,Israel Hayom,,39.0,31.0,14.0,,7.0,11.0,7.0,,5.0,6.0,,,,,5.0,,,,,,,,,,
2020-01-13,Midgam,Channel 12,,34.0,31.0,13.0,9.0,8.0,7.0,7.0,,,6.0,5.0,5.0,,,,,,,,,,,,,
2020-01-16,Kantar,Kan 11,,36.0,31.0,13.0,9.0,9.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-01-16,Panel Project HaMidgam,Channel 13,,34.0,31.0,14.0,9.0,6.0,8.0,7.0,7.0,4.0,,,,,,,,,,,,,,,,
2020-01-16,Maagar Mochot,103fm,,34.0,30.0,14.0,10.0,8.0,8.0,7.0,9.0,,,,,,,,,,,,,,,,,
2020-01-16,Midgam,Channel 12,,34.0,32.0,13.0,8.0,8.0,8.0,7.0,10.0,,,,,,,,,,,,,,,,,
2020-01-19,Direct Polls,Channel 13,,34.0,32.0,13.0,10.0,8.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,
2020-01-21,Kantar,Kan 11,,35.0,31.0,13.0,9.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,
2020-01-23,Panels Politics,Makor Rishon,,35.0,32.0,14.0,8.0,8.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,
2020-01-23,Midgam,Walla!,,35.0,32.0,13.0,9.0,8.0,8.0,7.0,8.0,,,,,,,,,,,,,,,,,
2020-01-28,Direct Polls,Israel Hayom,,33.0,35.0,13.0,9.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-01-29,Kantar,Kan 11,,34.0,33.0,14.0,8.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-01-29,Midgam,Channel 12,,35.0,33.0,13.0,8.0,8.0,8.0,7.0,8.0,,,,,,,,,,,,,,,,,
2020-01-29,Panel Project HaMidgam,Channel 13,,35.0,34.0,12.0,10.0,7.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,,
2020-01-29,Panels Politics,Maariv,,36.0,33.0,13.0,7.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-01-30,Maagar Mochot,103fm,,34.0,31.0,14.0,9.0,9.0,7.0,7.0,9.0,,,,,,,,,,,,,,,,,
2020-02-05,Panels Politics,Maariv,,36.0,33.0,13.0,8.0,7.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,
2020-02-05,Midgam,Walla!,,34.0,32.0,13.0,9.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,
2020-02-06,Direct Polls,Channel 20,,33.0,34.0,13.0,10.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-06,Maagar Mohot,Israel Hayom & i24 News,,36.0,34.0,13.0,8.0,8.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,
2020-02-07,Panel Project HaMidgam,Channel 13,,35.0,33.0,14.0,10.0,7.0,8.0,7.0,6.0,,,,,,,,,,,,,,,,,
2020-02-12,Panels Politics,Makor Rishon,,36.0,33.0,14.0,7.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-13,Smith,Maariv,,34.0,33.0,14.0,9.0,9.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,
2020-02-13,Maagar Mohot,Israel Hayom & i24 News,,34.0,32.0,14.0,8.0,8.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,
2020-02-13,Midgam,Channel 12,,35.0,33.0,13.0,9.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-14,Panels Politics,103fm,,35.0,32.0,14.0,8.0,8.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,
2020-02-17,Panel Project HaMidgam,Channel 13,,36.0,33.0,14.0,8.0,7.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,,
2020-02-17,Midgam,Walla!,,34.0,33.0,13.0,10.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-19,Panels Politics,Maariv,,36.0,32.0,14.0,8.0,9.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,,
2020-02-19,Midgam,Channel 12,,35.0,33.0,13.0,9.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-20,Direct Polls,Arutz Sheva,,31.0,33.0,14.0,10.0,9.0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,
2020-02-20,Maagar Mohot,Israel Hayom & i24 News,,36.0,33.0,13.0,8.0,8.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,
2020-02-23,Midgam,Channel 12,,33.0,34.0,13.0,10.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-23,Kantar,Kan 11,,34.0,35.0,14.0,9.0,8.0,7.0,7.0,6.0,,,,,,,,,,,,,,,,,
2020-02-24,Panel Project HaMidgam,Channel 13,,32.0,33.0,14.0,10.0,8.0,8.0,7.0,8.0,,,,,,,,,,,,,,,,,
2020-02-24,Kantar,Kan 11,,33.0,34.0,14.0,10.0,8.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,
2020-02-25,Panels Politics,103fm,,32.0,34.0,14.0,9.0,8.0,8.0,7.0,8.0,,,,,,,,,,,,,,,,,
2020-02-25,Midgam,Walla!,,34.0,34.0,13.0,9.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-26,Direct Polls,Arutz Sheva,,33.0,35.0,13.0,9.0,9.0,6.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-27,Maagar Mohot,Israel Hayom & i24 News,,33.0,33.0,14.0,9.0,8.0,7.0,7.0,9.0,,,,,,,,,,,,,,,,,
2020-02-27,Panels Politics,Maariv & The Jerusalem Post,,34.0,34.0,13.0,9.0,9.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,
2020-02-27,Kantar,Kan 11,,34.0,35.0,14.0,8.0,8.0,6.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-28,Midgam,Channel 12,,33.0,35.0,14.0,9.0,8.0,6.0,8.0,7.0,,,,,,,,,,,,,,,,,
2020-02-28,Panel Project HaMidgam,Channel 13,,33.0,33.0,15.0,9.0,8.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,
2020-02-28,Smith,Maariv,,34.0,35.0,14.0,8.0,9.0,6.0,7.0,7.0,,,,,,,,,,,,,,,,,
2020-03-02,Midgam,Channel 12,,33.0,37.0,14.0,7.0,9.0,6.0,7.0,7.0,,,,,,,,,,,,,,,,,
2020-03-02,Camile Fuchs,Channel 13,,32.0,37.0,14.0,6.0,9.0,8.0,8.0,6.0,,,,,,,,,,,,,,,,,
2020-03-02,Kantar,Kan 11,,33.0,36.0,15.0,6.0,9.0,6.0,8.0,7.0,,,,,,,,,,,,,,,,,
