date,pollster,publisher,sample,Likud,Yesh Atid,Blue & White,Joint List,Shas,UTJ,Yisrael Beiteinu,Meretz,Ra'am,Yamina,New Hope,Labor,Religious Zionist,New Economic,YB,NEP,RZ,Israelis,Yesh Atid -Telem,Labor- Meretz,B&W,Labor+ Israelis+ Tnufa,RZ+ JH+ OY,NH,RZ +Otzma +Noam,Labor+ Israelis,Labor +Israelis +Tnufa +NEP +Telem,Yesh Atid +Israelis,Israelis +Labor,Israelis +Labor +Telem +Tnufa,RZ +OY,Yesh Atid +Labor +Israelis +Tnufa +NEP +B&W,Yesh Atid- Telem +Israelis,New Hope +Yamina,Yesh Atid +Labor +Shelah +Israelis +Meretz,Labor +Shelah +Huldai +Nissenkorn,Huldai,"Huldai, Eizenkot & Ya'alon",Eizenkot & Huldai,Eizenkot,Shasha- Biton,Shulman
2020-03-16,Direct Polls,–,,39.0,,30.0,16.0,8.0,8.0,6.0,,,6.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,Direct Polls,–,,40.0,,30.0,15.0,8.0,7.0,7.0,,,7.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,Smith,The Jerusalem Post,,42.0,,18.0,16.0,8.0,7.0,6.0,7.0,,7.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,Direct Polls,–,,38.0,,16.0,15.0,9.0,8.0,8.0,5.0,,7.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,Midgam,Channel 12,,40.0,,19.0,15.0,9.0,7.0,7.0,5.0,,8.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,Smith,–,,41.0,,17.0,16.0,10.0,7.0,6.0,5.0,,7.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,Direct Polls,–,,41.0,,16.0,15.0,9.0,8.0,8.0,5.0,,7.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,Panels Politics,103fm,,41.0,,12.0,15.0,9.0,8.0,6.0,6.0,,9.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,Midgam,Channel 12,,40.0,,12.0,15.0,9.0,7.0,9.0,6.0,,8.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,
2020-06-11,Maagar Mohot,103fm,,41.0,,13.0,15.0,9.0,8.0,7.0,5.0,,6.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,Smith,The Jerusalem Post,,41.0,,10.0,16.0,9.0,7.0,8.0,6.0,,8.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,Direct Polls,–,,41.0,,11.0,16.0,10.0,7.0,8.0,5.0,,7.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28,Camil Fuchs,Channel 13,,38.0,,9.0,16.0,8.0,7.0,8.0,7.0,,11.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-03,Maagar Mohot,103fm,,38.0,,10.0,15.0,9.0,8.0,8.0,6.0,,9.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
