date,pollster,publisher,sample,Likud,Yesh Atid,National Unity,Shas,Labor,UTJ,Yisrael Beiteinu,RZP- OY,Hadash -Ta'al,Meretz,Ra'am,Jewish Home,Balad,Joint List,Religious Zionist,Otzma Yehudit,NUP/B&W- NH,Zionist Spirit/Yamina,Blue & White,New Hope,Yamina,Labor- Meretz,Chikli,Barkat,Katz,Edelstein,Regev,Erdan,Netanyahu,Lapid,Bennett,Gantz,Sa'ar,None,Undecided
2021-04-05,Panels Politics,103fm,,29.0,21.0,,9.0,7.0,7.0,6.0,,,5.0,4.0,,,5.0,5.0,,,,7.0,5.0,10.0,,,,,,,,,,,,,,
2021-04-22,Midgam,HaHadashot 12,,30.0,19.0,,9.0,8.0,7.0,7.0,,,5.0,4.0,,,6.0,6.0,,,,7.0,5.0,7.0,,,,,,,,,,,,,,
2021-04-22,Maagar Mohot,103fm,,30.0,20.0,,8.0,7.0,8.0,5.0,,,5.0,5.0,,,6.0,6.0,,,,7.0,4.0,9.0,,,,,,,,,,,,,,
2021-05-04,Camil Fuchs,Channel 13,,28.0,21.0,,7.0,7.0,7.0,5.0,,,5.0,4.0,,,6.0,5.0,,,,8.0,6.0,11.0,,,,,,,,,,,,,,
2021-05-13,Direct Polls,–,,33.0,19.0,,9.0,7.0,7.0,7.0,,,4.0,5.0,,,6.0,8.0,,,,6.0,5.0,4.0,,,,,,,,,,,,,,
2021-05-23,Camil Fuchs,Channel 13,,29.0,22.0,,7.0,7.0,6.0,5.0,,,4.0,,,,8.0,8.0,,,,11.0,5.0,8.0,,,,,,,,,,,,,,
2021-05-23,Midgam,HaHadashot 12,,30.0,21.0,,9.0,6.0,7.0,6.0,,,4.0,4.0,,,5.0,7.0,,,,10.0,6.0,5.0,,,,,,,,,,,,,,
2021-06-10,Maagar Mohot,Channel 14,,30.0,23.0,,9.0,7.0,7.0,6.0,,,6.0,4.0,,,5.0,9.0,,,,6.0,4.0,4.0,,,,,,,,,,,,,,
2021-06-13,Smith,Kikar HaShabbat,,31.0,23.0,,9.0,6.0,7.0,5.0,,,4.0,5.0,,,6.0,7.0,,,,7.0,5.0,5.0,,,,,,,,,,,,,,
2021-06-13,Camil Fuchs,Channel 13,,27.0,23.0,,7.0,7.0,6.0,5.0,,,4.0,5.0,,,6.0,8.0,,,,10.0,5.0,7.0,,,,,,,,,,,,,,
2021-06-22,Maagar Mohot,Channel 14,,29.0,22.0,,9.0,7.0,7.0,6.0,,,5.0,5.0,,,6.0,7.0,,,,7.0,4.0,6.0,,,,,,,,,,,,,,
2021-07-12,Midgam,HaHadashot 12,,30.0,19.0,,9.0,8.0,7.0,7.0,,,4.0,4.0,,,6.0,5.0,,,,8.0,5.0,8.0,,,,,,,,,,,,,,
2021-07-15,Maagar Mohot,Israel Hayom,,29.0,21.0,,9.0,7.0,7.0,6.0,,,6.0,6.0,,,6.0,7.0,,,,7.0,,9.0,,,,,,,,,,,,,,
2021-08-12,Maagar Mohot,Israel Hayom,,32.0,18.0,,8.0,6.0,7.0,7.0,,,6.0,5.0,,,6.0,7.0,,,,10.0,,8.0,,,,,,,,,,,,,,
2021-08-18,Maagar Mohot,Channel 14,,32.0,18.0,,8.0,7.0,7.0,7.0,,,6.0,5.0,,,5.0,7.0,,,,11.0,,7.0,,,,,,,,,,,,,,
2021-08-20,Midgam,HaHadashot 12,,32.0,20.0,,9.0,8.0,7.0,6.0,,,4.0,4.0,,,6.0,6.0,,,,8.0,4.0,6.0,,,,,,,,,,,,,,
2021-09-01,Smith,Galei Israel,,33.0,18.0,,9.0,6.0,7.0,7.0,,,6.0,5.0,,,6.0,7.0,,,,10.0,,6.0,,,,,,,,,,,,,,
2021-09-12,Smith,–,,33.0,22.0,,8.0,7.0,7.0,7.0,,,5.0,5.0,,,6.0,8.0,,,,8.0,,5.0,,,,,,,,,,,,,,
2021-10-03,Direct Polls,–,,35.0,19.0,,9.0,8.0,7.0,6.0,,,4.0,5.0,,,8.0,7.0,,,,8.0,,4.0,,,,,,,,,,,,,,
2021-10-04,Camil Fuchs,Channel 13,,34.0,22.0,,6.0,6.0,7.0,5.0,,,4.0,4.0,,,7.0,7.0,,,,7.0,4.0,7.0,,,,,,,,,,,,,,
2021-10-06,Smith,Galei Israel,,33.0,21.0,,8.0,7.0,7.0,6.0,,,6.0,5.0,,,7.0,7.0,,,,8.0,,5.0,,,,,,,,,,,,,,
2021-10-12,Midgam,HaHadashot 12,,34.0,18.0,,9.0,7.0,7.0,5.0,,,5.0,4.0,,,6.0,6.0,,,,8.0,4.0,7.0,,,,,,,,,,,,,,
2021-10-31,Direct Polls,–,,35.0,20.0,,9.0,7.0,8.0,7.0,,,4.0,5.0,,,7.0,7.0,,,,7.0,4.0,,,,,,,,,,,,,,,
2021-11-01,Camil Fuchs,Channel 13,,36.0,20.0,,7.0,10.0,7.0,4.0,,,5.0,4.0,,,8.0,6.0,,,,7.0,,6.0,,,,,,,,,,,,,,
2021-11-01,Smith,Galei Israel,,34.0,20.0,,8.0,7.0,7.0,6.0,,,6.0,5.0,,,7.0,7.0,,,,8.0,,6.0,,,,,,,,,,,,,,
2021-11-22,Maagar Mohot,Channel 14,,33.0,18.0,,8.0,8.0,8.0,6.0,,,5.0,5.0,,,7.0,7.0,,,,9.0,,6.0,,,,,,,,,,,,,,
2021-11-28,Direct Polls,Channel 14,,35.0,19.0,,9.0,7.0,7.0,7.0,,,4.0,6.0,,,7.0,7.0,,,,8.0,,4.0,,,,,,,,,,,,,,
2021-12-02,Smith,Galei Israel,,34.0,21.0,,9.0,7.0,7.0,7.0,,,4.0,5.0,,,7.0,7.0,,,,7.0,,5.0,,,,,,,,,,,,,,
2021-12-05,Midgam,HaHadashot 12,,34.0,19.0,,9.0,7.0,7.0,6.0,,,5.0,5.0,,,6.0,7.0,,,,9.0,,6.0,,,,,,,,,,,,,,
2021-12-16,Panels Politics,103fm,,,20.0,,10.0,7.0,7.0,7.0,,,5.0,5.0,,,7.0,10.0,,,,10.0,5.0,7.0,,,,,,20.0,,,,,,,,
2021-12-21,Camil Fuchs,Channel 13,,33.0,19.0,,8.0,6.0,7.0,5.0,,,4.0,5.0,,,5.0,7.0,,,,8.0,4.0,9.0,,,,,,,,,,,,,,
2022-01-06,Smith,Galei Israel,,33.0,20.0,,8.0,7.0,7.0,7.0,,,5.0,5.0,,,6.0,8.0,,,,8.0,,6.0,,,,,,,,,,,,,,
2022-01-06,Direct Polls,Channel 14,,35.0,19.0,,9.0,7.0,7.0,7.0,,,4.0,6.0,,,7.0,7.0,,,,8.0,,4.0,,,,,,,,,,,,,,
2022-01-10,Maagar Mohot,Srugim,,,15.0,,12.0,8.0,7.0,6.0,,,6.0,4.0,,,6.0,12.0,,,,8.0,,5.0,,,31.0,,,,,,,,,,,
2022-01-16,Midgam,HaHadashot 12,,,19.0,,11.0,7.0,7.0,7.0,,,4.0,5.0,,,6.0,13.0,,,,11.0,5.0,5.0,,,,,20.0,,,,,,,,,
2022-01-18,Maagar Mohot,Israel Hayom,,34.0,18.0,,9.0,8.0,7.0,6.0,,,4.0,5.0,,,7.0,8.0,,,,9.0,,5.0,,,,,,,,,,,,,,
2022-02-13,Direct Polls,–,,36.0,17.0,,9.0,7.0,7.0,6.0,,,5.0,5.0,,,7.0,8.0,,,,9.0,,4.0,,,,,,,,,,,,,,
2022-03-15,Midgam,HaHadashot 12,,34.0,17.0,,9.0,7.0,7.0,6.0,,,4.0,5.0,,,6.0,7.0,,,,7.0,4.0,7.0,,,,,,,,,,,,,,
2022-03-21,Maagar Mohot,Israel Hayom,,34.0,17.0,,8.0,8.0,8.0,5.0,,,5.0,4.0,,,6.0,9.0,,,,10.0,,6.0,,,,,,,,,,,,,,
2022-03-22,Direct Polls,Channel 14,,34.0,18.0,,9.0,7.0,7.0,7.0,,,5.0,4.0,,,7.0,8.0,,,,8.0,,4.0,,,,,,,,,,,,,,
2022-03-28,Midgam,HaHadashot 12,,34.0,18.0,,9.0,6.0,7.0,5.0,,,4.0,5.0,,,6.0,8.0,,,,8.0,4.0,6.0,,,,,,,,,,,,,,
2022-04-06,Direct Polls,Channel 14,,35.0,20.0,,10.0,7.0,8.0,6.0,,,5.0,5.0,,,7.0,9.0,,,,8.0,,,,,,,,,,,,,,,,
2022-04-06,Midgam,HaHadashot 12,,35.0,17.0,,9.0,7.0,7.0,5.0,,,5.0,5.0,,,6.0,7.0,,,,8.0,4.0,5.0,,,,,,,,,,,,,,
2022-04-06,Kantar,Kan 11,,35.0,19.0,,8.0,5.0,7.0,4.0,,,5.0,4.0,,,6.0,8.0,,,,8.0,5.0,6.0,,,,,,,,,,,,,,
2022-04-06,Camil Fuchs,Channel 13,,38.0,17.0,,7.0,6.0,7.0,6.0,,,5.0,4.0,,,6.0,8.0,,,,9.0,,7.0,,,,,,,,,,,,,,
2022-04-07,Panels Politics,Maariv,,37.0,18.0,,7.0,6.0,7.0,5.0,,,5.0,4.0,,,6.0,9.0,,,,7.0,4.0,5.0,,,,,,,,,,,,,,
2022-04-07,Maagar Mohot,Israel Hayom,,35.0,19.0,,9.0,8.0,8.0,6.0,,,4.0,4.0,,,6.0,8.0,,,,8.0,,5.0,,,,,,,,,,,,,,
2022-05-03,Smith,Galei Israel,,36.0,20.0,,8.0,7.0,7.0,6.0,,,5.0,5.0,,,6.0,8.0,,,,7.0,,5.0,,,,,,,,,,,,,,
2022-05-09,Camil Fuchs,Channel 13,,36.0,18.0,,7.0,6.0,7.0,5.0,,,5.0,,,,8.0,9.0,,,,7.0,4.0,8.0,,,,,,,,,,,,,,
2022-05-21,Panels Politics,103fm,,35.0,19.0,,8.0,8.0,6.0,5.0,,,,4.0,,,7.0,5.0,5.0,,,8.0,4.0,6.0,,,,,,,,,,,,,,
2022-05-25,Panels Politics,The Jerusalem Post,,32.0,20.0,,8.0,7.0,7.0,5.0,,,,4.0,,,7.0,5.0,6.0,,,8.0,4.0,7.0,,,,,,,,,,,,,,
2022-06-07,Kantar,Kan 11,,35.0,20.0,,8.0,7.0,7.0,5.0,,,4.0,4.0,,,6.0,10.0,,,,8.0,,6.0,,,,,,,,,,,,,,
2022-06-08,Panels Politics,Maariv,,34.0,21.0,,8.0,6.0,7.0,5.0,,,,4.0,,,7.0,11.0,,,,8.0,4.0,5.0,,,,,,,,,,,,,,
2022-06-10,Camil Fuchs,Channel 13,,36.0,20.0,,8.0,6.0,7.0,5.0,,,4.0,,,,7.0,9.0,,,,8.0,4.0,6.0,,,,,,,,,,,,,,
2022-06-13,Midgam,HaHadashot 12,,36.0,20.0,,8.0,6.0,7.0,5.0,,,4.0,5.0,,,5.0,9.0,,,,10.0,,5.0,,,,,,,,,,,,,,
2022-06-20,Panels Politics,103fm,,36.0,20.0,,7.0,7.0,6.0,5.0,,,,4.0,,,6.0,10.0,,,,8.0,4.0,7.0,,,,,,,,,,,,,,
2022-06-21,Kantar,Kan 11,,36.0,21.0,,8.0,6.0,7.0,5.0,,,,4.0,,,6.0,9.0,,,,9.0,4.0,5.0,,,,,,,,,,,,,,
2022-06-21,Camil Fuchs,Channel 13,,35.0,22.0,,8.0,5.0,7.0,5.0,,,4.0,4.0,,,6.0,9.0,,,,7.0,4.0,4.0,,,,,,,,,,,,,,
2022-06-21,Direct Polls,Channel 14,,36.0,20.0,,8.0,5.0,7.0,6.0,,,4.0,4.0,,,6.0,9.0,,,,7.0,4.0,4.0,,,,,,,,,,,,,,
2022-06-21,Midgam,HaHadashot 12,,35.0,20.0,,8.0,6.0,7.0,5.0,,,4.0,4.0,,,5.0,9.0,,,,9.0,4.0,4.0,,,,,,,,,,,,,,
2022-06-23,Panels Politics,Maariv,,34.0,21.0,,7.0,7.0,7.0,5.0,,,4.0,4.0,,,6.0,9.0,,,,8.0,4.0,4.0,,,,,,,,,,,,,,
2022-06-29,Midgam,HaHadashot 12,,34.0,20.0,,8.0,5.0,7.0,5.0,,,4.0,4.0,,,6.0,9.0,,,,9.0,4.0,5.0,,,,,,,,,,,,,,
2022-06-30,Panels Politics,Maariv,,34.0,22.0,,8.0,6.0,7.0,5.0,,,,4.0,,,6.0,10.0,,,,9.0,5.0,4.0,,,,,,,,,,,,,,
2022-07-03,Kantar,Kan 11,,34.0,21.0,,8.0,5.0,7.0,5.0,,,4.0,4.0,,,6.0,10.0,,,,8.0,4.0,4.0,,,,,,,,,,,,,,
2022-07-07,Panels Politics,Maariv,,36.0,23.0,,8.0,6.0,7.0,6.0,,,,4.0,,,6.0,10.0,,,,9.0,5.0,,,,,,,,,,,,,,,
2022-07-11,Midgam,HaHadashot 12,,34.0,23.0,,8.0,5.0,7.0,6.0,,,4.0,4.0,,,6.0,10.0,,13.0,,,,,,,,,,,,,,,,,,
2022-07-11,Kantar,Kan 11,,34.0,23.0,,8.0,5.0,7.0,5.0,,,4.0,4.0,,,6.0,10.0,,14.0,,,,,,,,,,,,,,,,,,
2022-07-12,Direct Polls,Channel 14,,36.0,20.0,,9.0,5.0,7.0,6.0,,,4.0,5.0,,,5.0,9.0,,14.0,,,,,,,,,,,,,,,,,,
2022-07-15,Panels Politics,Maariv,,36.0,24.0,,8.0,6.0,7.0,6.0,,,,4.0,,,6.0,10.0,,13.0,,,,,,,,,,,,,,,,,,
2022-07-21,Panels Politics,Maariv,,35.0,24.0,,8.0,5.0,6.0,6.0,,,4.0,4.0,,,6.0,10.0,,12.0,,,,,,,,,,,,,,,,,,
2022-07-24,Kantar,Kan 11,,35.0,22.0,,8.0,6.0,7.0,5.0,,,5.0,4.0,,,6.0,10.0,,12.0,,,,,,,,,,,,,,,,,,
2022-07-26,Camil Fuchs,Channel 13,,35.0,24.0,,8.0,4.0,6.0,5.0,,,4.0,4.0,,,6.0,11.0,,13.0,,,,,,,,,,,,,,,,,,
2022-07-28,Panels Politics,Maariv,,35.0,23.0,,8.0,4.0,6.0,5.0,,,4.0,4.0,,,6.0,10.0,,11.0,4.0,,,,,,,,,,,,,,,,,
2022-07-28,Direct Polls,Channel 14,,34.0,21.0,,9.0,5.0,7.0,6.0,,,4.0,5.0,,,5.0,11.0,,13.0,,,,,,,,,,,,,,,,,,
2022-07-28,Midgam,HaHadashot 12,,33.0,23.0,,8.0,5.0,7.0,5.0,,,5.0,4.0,,,6.0,9.0,,11.0,4.0,,,,,,,,,,,,,,,,,
2022-07-31,Maagar Mohot,Jerusalem Net,,34.0,22.0,,9.0,6.0,7.0,5.0,,,4.0,4.0,,,6.0,11.0,,12.0,,,,,,,,,,,,,,,,,,
2022-08-04,Panels Politics,Maariv,,34.0,23.0,,8.0,5.0,7.0,5.0,,,4.0,4.0,,,6.0,9.0,,11.0,4.0,,,,,,,,,,,,,,,,,
2022-08-04,Direct Polls,Channel 14,,34.0,23.0,,9.0,5.0,7.0,5.0,,,4.0,5.0,,,5.0,11.0,,12.0,,,,,,,,,,,,,,,,,,
2022-08-04,Camil Fuchs,Channel 13,,35.0,21.0,,8.0,6.0,7.0,5.0,,,4.0,4.0,,,6.0,12.0,,12.0,,,,,,,,,,,,,,,,,,
2022-08-08,Kantar,Kan 11,,33.0,23.0,,8.0,5.0,7.0,6.0,,,5.0,4.0,,,6.0,11.0,,12.0,,,,,,,,,,,,,,,,,,
2022-08-08,Midgam,HaHadashot 12,,34.0,24.0,,8.0,5.0,7.0,5.0,,,4.0,5.0,,,6.0,10.0,,12.0,,,,,,,,,,,,,,,,,,
2022-08-08,Camil Fuchs,Channel 13,,34.0,22.0,,7.0,5.0,7.0,5.0,,,4.0,4.0,,,6.0,11.0,,11.0,4.0,,,,,,,,,,,,,,,,,
2022-08-11,Panels Politics,Maariv,,33.0,25.0,,9.0,7.0,7.0,5.0,,,,4.0,,,6.0,10.0,,10.0,4.0,,,,,,,,,,,,,,,,,
2022-08-14,Kantar,Kan 11,,35.0,22.0,,8.0,5.0,7.0,5.0,,,4.0,5.0,,,6.0,9.0,,14.0,,,,,,,,,,,,,,,,,,
2022-08-14,Midgam,HaHadashot 12,,34.0,23.0,,8.0,5.0,7.0,5.0,,,4.0,4.0,,,6.0,10.0,,14.0,,,,,,,,,,,,,,,,,,
2022-08-14,Camil Fuchs,Channel 13,,34.0,23.0,,8.0,6.0,7.0,4.0,,,4.0,5.0,,,6.0,11.0,,12.0,,,,,,,,,,,,,,,,,,
2022-08-14,Direct Polls,Channel 14,,34.0,22.0,,9.0,5.0,7.0,5.0,,,4.0,5.0,,,5.0,11.0,,13.0,,,,,,,,,,,,,,,,,,
2022-08-18,Panels Politics,Maariv,,32.0,25.0,12.0,8.0,5.0,7.0,5.0,,,4.0,4.0,,,6.0,5.0,7.0,,,,,,,,,,,,,,,,,,,
2022-08-24,Kantar,Kan 11,,33.0,22.0,14.0,8.0,5.0,7.0,5.0,,,5.0,4.0,,,5.0,4.0,8.0,,,,,,,,,,,,,,,,,,,
2022-08-24,Midgam,HaHadashot 12,,34.0,23.0,13.0,8.0,5.0,7.0,5.0,,,6.0,5.0,,,5.0,,9.0,,,,,,,,,,,,,,,,,,,
2022-08-24,Camil Fuchs,Channel 13,,30.0,23.0,12.0,8.0,5.0,7.0,6.0,,,4.0,4.0,,,5.0,7.0,9.0,,,,,,,,,,,,,,,,,,,
2022-08-25,Panels Politics,Maariv,,31.0,23.0,13.0,8.0,6.0,7.0,5.0,,,5.0,4.0,,,6.0,4.0,8.0,,,,,,,,,,,,,,,,,,,
2022-08-28,Panels Politics,103fm,,32.0,23.0,13.0,8.0,5.0,7.0,5.0,12.0,,5.0,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
2022-08-31,Midgam,HaHadashot 12,,33.0,24.0,12.0,8.0,5.0,7.0,6.0,11.0,,5.0,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
2022-09-01,Camil Fuchs,Channel 13,,32.0,24.0,13.0,8.0,5.0,7.0,6.0,12.0,,4.0,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
2022-09-02,Panels Politics,Maariv,,31.0,24.0,13.0,8.0,5.0,6.0,5.0,13.0,,5.0,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
2022-09-04,Direct Polls,Channel 14,,33.0,22.0,12.0,10.0,5.0,7.0,6.0,10.0,,5.0,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
2022-09-08,Panels Politics,Maariv,,31.0,25.0,12.0,8.0,4.0,7.0,5.0,13.0,,5.0,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
2022-09-08,Midgam,HaHadashot 12,,32.0,23.0,12.0,9.0,5.0,7.0,5.0,11.0,,6.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
2022-09-11,Direct Polls,Channel 14,,34.0,23.0,12.0,9.0,4.0,7.0,5.0,11.0,,5.0,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
